編號,分類,題號,文件名稱,題目,選項1,選項2,選項3,選項4,正確答案
A1-011,A1,011,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,下列哪一類問題最適合使用非監督式學習（Unsupervised Learning）來處理？,(1) 根據已標記的醫療影像訓練模型診斷疾病,(2) 根據使用者行為將用戶分群，以優化行銷策略,(3) 透過已知交通事故記錄預測未來事故發生機率,(4) 根據歷史股價預測未來股市的走勢,2
A1-012,A1,012,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,下列哪一種圖表最適合用來呈現並分析「兩個數值型變數」之間的關係，例如觀察身高與體重的相關性？,(1) 散佈圖（Scatter Plot）,(2) 折線圖（Line Chart）,(3) 直方圖（Histogram）,(4) 長條圖（Bar Chart）,1
A1-013,A1,013,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,下列哪一項應用情境與機器學習類型搭配正確？,(1) 在醫療影像資料中，僅有少部分影像有專家標註診斷，其餘大多數影像未標註，研究者結合已標註與未標註資料來建立模型 — 監督式學習（Supervised Learning）,(2) 在自駕車模擬環境中，模型透過試駕獲得「是否安全通過路口」的獎勵或懲罰訊號，逐步調整決策策略 — 非監督式學習（Unsupervised Learning）,(3) 在顧客購買紀錄中，利用已知的「顧客是否流失」標籤，訓練模型以預測新顧客未來是否會流失 — 強化式學習（Reinforcement Learning）,(4) 在股票市場資料中，輸入歷史股價序列，嘗試將未來可能走勢劃分成若干「上升型、盤整型、下降型」群組，無需使用任何標籤 — 非監督式學習（Unsupervised Learning）,4
A1-014,A1,014,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,某企業分析團隊正在處理一組近兩年的營運與銷售數據，共有四個部門提出了各自的分析需求，請判斷哪一個最接近「預測性分析（Predictive Analysis）」的特性？,(1) 視覺化所有產品線過去月銷售走勢與標準差，觀察其分佈情況與波動程度,(2) 藉由資料比對分析，找出去年母親節促銷失效的地區與品類組合,(3) 建構模型推算下一季的主力商品銷量，以規劃備貨與倉儲資源配置,(4) 透過熱圖分析廣告投放成本與訂單轉換率之間的潛在關聯性,3
A1-015,A1,015,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,某模型使用 K-近鄰演算法（KNN）進行分類，K設為 3。 一筆新的測試資料輸入後，與其最接近的 3筆資料的類別如下：鄰近樣本 1：類別A；鄰近樣本 2：類別 B；鄰近樣本 3：類別 A。請問模型會將這筆資料預測為哪一類別？,(1) 類別 A,(2) 類別 B,(3) 類別 A與 B各一半，無法分類,(4) 類別 A或 B，視距離遠近加權而定,1
A1-016,A1,016,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,"某團隊想採用循環神經網路（Recurrent Neural Network, RNN）建構長期氣候數據的預測模型，以下哪一項敘述最符合使用 RNN 可能會遇到的挑戰？",(1) RNN無法處理可變長度的序列輸入，因此在實務上限制極大,(2) RNN在長序列訓練中可能出現梯度消失，影響模型效果,(3) RNN無法捕捉時間上的依賴關係，因此預測準確度低,(4) RNN只能用於分類任務，不能應用於時間序列預測,2
A1-017,A1,017,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,一間金融科技公司設計一款智慧投資系統，該系統會根據市場變化自動決定「買進」、「持有」或「賣出」的行動，並根據每次交易後的盈虧結果，逐步優化下一次的投資策略。整個過程中，系統不依賴事先標記的資料，而是根據歷次行動獲得的獎勵進行調整。請問此系統最可能采用哪一種學習方法？,(1) 強化式學習（Reinforcement Learning）,(2) 監督式學習（Supervised Learning）,(3) 非監督式學習（Unsupervised Learning）,(4) 遷移學習（Transfer Learning）,1
A1-018,A1,018,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,關於 Q-Learning 與 Deep Q-Learning，下列敘述何者最正確？,(1) Q-Learning 與 Deep Q-Learning 的差異在於是否使用標記資料作為學習基礎,(2) Q-Learning 可處理任意維度的狀態空間，因此比 Deep Q-Learning更靈活,(3) Deep Q-Learning 透過深度神經網路近似 Q值，避免了 Q表在高維空間中難以擴展的問題,(4) Deep Q-Learning 無法搭配經驗回放（Experience Replay），因為會導致樣本順序被打亂,3
A1-019,A1,019,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,在訓練機器學習模型時，若任務為預測房價，應選用下列哪一種損失函數（Loss Function）來衡量預測誤差？,(1) 均方誤差（MSE）,(2) 交叉熵損失（Cross-Entropy Loss）,(3) Hinge損失（Hinge Loss）,(4) KL散度（Kullback-Leibler Divergence）,1
A1-020,A1,020,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,某醫院希望開發一個系統，根據患者的年齡、血壓與 BMI等資訊，預測其罹患糖尿病的機率（0~1），並依據預測值是否超過 0.5 做出風險警示。下列哪一種模型最適合用於此分類任務？,(1) 邏輯迴歸（Logistic Regression）,(2) 支援向量機（Support Vector Machine）,(3) 決策樹（Decision Tree）,(4) K平均演算法（K-means）,1
A1-021,A1,021,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,某金融科技公司正開發一套違約風險預測系統，需大量處理不同客戶的財務特徵資料。考量到資料特徵數量眾多，且希望提升預測的穩定性與泛化能力，下列哪一種鑑別式 AI模型最適合？,(1) 邏輯迴歸（Logistic Regression）,(2) 支援向量機（Support Vector Machine）,(3) 決策樹（Decision Tree）,(4) 隨機森林（Random Forest）,4
A1-022,A1,022,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,"關於變分自編碼器（Variational Autoencoder, VAE）的運作流程，下列何者敘述最為正確？",(1) 解碼器的任務是將低維壓縮向量分類為不同類別,(2) 編碼器將輸入資料轉換為可視化圖像以利模型學習,(3) 編碼器將資料轉換為潛在空間表示，解碼器再重建資料,(4) 編碼器利用最大邊際機率對資料進行異常點偵測,3
A1-023,A1,023,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,下列何者不是我國數位發展部 AI 產品與系統評測中心對生成式 AI 的評測項目?,(1) 當責性,(2) 可靠性,(3) 隱私及資安,(4) 互動性,4
A1-024,A1,024,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,在保持 GPT-OSS模型架構不變的前提下，如果將模型參數量從 20億提升至 120億，並假設有足夠的訓練資料支撐，下列敘述何者最正確？,(1) 模型參數增加會線性提升效能，且即使訓練資料不變也不會遇到瓶頸,(2) 參數越多模型推理越快，因為每層可以並行計算更多參數,(3) 較大的參數量能提升模型的表達能力與預測效能，但需足夠訓練資料支持,(4) 增加參數量不影響記憶體使用，只會影響計算速度,3
A1-025,A1,025,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,在自然語言處理任務中，為了減少訓練語料中偏見對模型的影響，下列哪種資料處理策略屬於常見的「資料去偏（Data Debiasing）」做法？,(1) 讓模型在訓練時隨機替換輸出，以抵消資料中存在的系統性偏差,(2) 增加模型的參數量，依賴更大的模型自動消除原始資料中的偏見,(3) 調整或擴充訓練語料，使不同群體或類型資料的比例更加平衡，避免模型過度偏向出現頻率高的類別,(4) 對訓練資料施加額外正則化或噪音，使模型在學習過程中對偏見敏感度降低,3
A1-026,A1,026,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,在深度學習模型的微調（Fine-tuning）過程中，可能出現所謂的「災難性遺忘（Catastrophic Forgetting）」。此現象最可能造成哪種情況？,(1) 由於計算資源或訓練步驟不足，模型在微調過程中無法完整收斂，導致學習效果受限,(2) 微調後模型的表現變得隨機，無法有效記憶新學到的模式與知識,(3) 微調後模型的部分權重產生偏移，導致模型無法針對較長的文字進行回應,(4) 模型過度適應微調的資料分佈，逐漸遺忘先前預訓練所獲得的廣泛知識，在原有任務或廣泛領域上表現變差,4
A1-027,A1,027,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,在大型 Transformer 模型的效能優化過程中，常見的方法之一是「剪枝（Pruning）」。下列哪一項最符合該方法的核心概念？,(1) 將模型中所有權重按比例縮小，使其值更接近零，以降低計算量,(2) 移除模型中影響較小或冗餘的部分權重參數，以減少模型大小並提升推理效率,(3) 在訓練時僅更新部分權重而將其他權重凍結，從而減少需要調整的參數數量,(4) 根據注意力分數動態跳過處理部分輸入 Token，以減少每次前向傳播的計算,2
A1-028,A1,028,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,對非常長的輸入序列進行推理（Inference），Transformer模型推理的主要計算瓶頸通常是什麼？,(1) 模型輸出層產生文本的過程，因為每生成一個詞都必須重新訓練整個模型一次,(2) 詞嵌入 (Embedding) 查找操作，因為其時間複雜度隨詞彙表大小指數級增長,(3) Softmax 函數的計算，因為對每個 Token都需要執行繁重的運算,(4) 自注意力層的計算和其記憶體使用，因為注意力矩陣的大小隨序列長度呈平方級增長,4
A1-029,A1,029,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,"在「可解釋人工智慧（Explainable AI, XAI）」領域中，LIME（Local Interpretable Model-agnostic Explanations）方法最核心的應用目的是什麼？",(1) 解釋單一樣本（局部預測）的黑箱模型決策過程,(2) 全面提升黑箱模型整體的預測準確度,(3) 將黑箱模型轉換成完全可解釋的模型作為替代,(4) 用於生成大量擬真數據來替代訓練集,1
A1-030,A1,030,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,"在醫療診斷決策支援系統等高風險領域中，「可解釋人工智慧（Explainable AI, XAI）」的核心價值最主要呈現在哪個面向？",(1) 透過提供可理解的決策依據，促進患者與醫療專業人員對系統診斷結果的信任與接受度,(2) 以可解釋性方法優化臨床資料蒐集與管理流程，從而降低整體醫療作業成本,(3) 利用解釋機制增強模型預測的統計顯著性與準確度，使其在研究及實務應用中更具科學性,(4) 透過提供透明化的運作過程，進而減輕臨床人員負擔，並提升醫療服務的整體效率,1
A1-031,A1,031,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,在金融科技公司的信貸決策系統中，導入反事實解釋（Counterfactual Explanation）時，實際部署往往伴隨技術與監管挑戰。下列哪一項最符合該情境下的核心挑戰？,(1) 需要建立完整的客戶行為預測模型來估算建議改變的實施成本，並整合到現有的風險管理系統架構中,(2) 必須使用聯邦學習技術保護客戶隱私，同時在分散式環境中計算跨機構的反事實解釋結果,(3) 需要建構時間序列因果圖來處理客戶信用狀況的動態變化，並預測未來可能的信用評分軌跡,(4) 生成的反事實樣本必須滿足特徵間的因果約束和業務邏輯約束，同時確保建議的改變在現實中具有可操作性且符合公平放貸法規,4
A1-032,A1,032,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,在統計推論中，若樣本來自母體但呈現明顯偏態分布，且樣本數有限，下列哪一項策略最能減少推估母體參數的偏誤？,(1) 直接使用樣本平均數與變異數估計母體參數，不做任何調整,(2) 增加樣本數並考慮使用分位數或中位數作為中心趨勢估計,(3) 將樣本隨機重新排列後，多次計算平均值以消除偏態影響,(4) 完全依賴樣本標準差來估計母體參數，忽略分布形態,2
A1-033,A1,033,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,在工業物聯網架構中，進行設備預測性維護（Predictive Maintenance）時，若面對異常事件發生頻率極低、樣本高度不平衡的時間序列資料，下列哪一種方法最能兼顧模型穩定性與異常偵測效能？,(1) 將每筆異常事件資料複製多次以提升模型對異常的辨識敏感度，搭配全序列訓練模型（如 LSTM）,(2) 對時間序列進行差分與標準化後，使用傳統監督式學習模型（如 SVM）進行分類訓練,(3) 使用經過時間序列特化的 SMOTE技術生成異常樣本，以平衡異常與正常資料比例,(4) 採用基於重建誤差的自編碼器模型（ Sequence-to-Sequence Autoencoder）進行異常偵測，並僅使用正常資料進行訓練,4
A1-034,A1,034,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,在零售業進行客戶行為分析時，資料倉儲中發現多個欄位儲存相同的購買金額資訊（例如：amount_usd、total_price、transaction_value），但其單位、命名慣例及格式不一致，進而導致特徵工程階段混淆模型輸入。針對此種跨欄位語義重疊與結構冗餘問題，下列哪一種資料處理策略最合適且具實務可行性？,(1) 利用資料探勘技術自動選擇資料集中對目標變數最敏感的欄位，其他欄位捨棄即可，避免過度清理干擾原始結構,(2) 保留所有相似欄位，交由高階模型（如 Gradient Boosting或 Deep Learning）自動學習特徵關聯，無需手動處理,(3) 建立欄位命名標準，統一金額單位與格式，進行欄位正規化與語義合併，減少重複資訊影響特徵重要性估計,(4) 將重複欄位視為類別欄位，進行 One-hot編碼（One-hot encoding）後輸入模型，以避免數值誤導模型學習過程,3
A1-035,A1,035,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,某大型零售企業準備將商品推薦模型上線，專案團隊在檢視訓練資料時，發現部分商品類別（例如高價商品）樣本數量極少，而多數樣本集中於低價商品。若此不平衡問題未妥善處理，下列何種狀況最可能在實際推薦結果中發生？,(1) 模型在預測時傾向輸出稀有類別，導致雖能捕捉到少數樣本，但精確率（Precision）顯著下降,(2) 模型由於類別分布不均，難以建立有效的線性分離邊界，進而無法收斂,(3) 模型過度聚焦於稀有類別樣本，導致對多數類別的預測能力下降，整體效能受損,(4) 模型學到的決策邊界主要由多數類別主導，忽視了稀有類別，造成該類別的召回率（Recall）大幅降低,4
A1-036,A1,036,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,某電商資料團隊要協助行銷部門規劃再行銷策略。目前取得資料包含使用者點擊、購買紀錄、流量來源與轉換率。若資料團隊希望先進行探索性資料分析（EDA），下列哪一項最符合 EDA的做法？,(1) 建立隨機森林模型，預測使用者是否會完成購買,(2) 使用 K-means對使用者群進行分群並立即制定對應促銷策略,(3) 繪製各類流量來源對轉換率的關聯圖，尋找潛在關係,(4) 對不同購物路徑設定統計假設並進行雙樣本 t檢定,3
A1-037,A1,037,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,某金融科技公司在利用歷史交易資料建立風險控管模型時，嘗試推估整體詐騙交易比例。近期發現，樣本間存在明顯的時間序列相關性，導致模型在實際偵測新交易時誤判率升高。若希望同時改善詐騙比例推估的準確性並提升模型的穩健性，下列哪一種做法最為合適？,(1) 擴充樣本數量，以涵蓋更多潛在的詐騙型態，但維持既有的隨機抽樣方式不變,(2) 採取時間序列敏感的抽樣策略，例如依據交易時間區間進行分層，以保存原始的時間結構特性,(3) 將資料完全隨機打散，以降低序列相關性對模型訓練造成的影響,(4) 在模型評估時，針對相鄰時間區段進行誤差合併，以便用整體估計方式修正詐騙比例,2
A1-038,A1,038,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,某公司建置基於檢索增強生成（RAG）的知識查詢系統，需同時兼顧查詢效能與資料的即時更新。近期發現回應內容偶爾過時，且每次更新文件都需完整重建索引，導致系統在更新期間無法服務。若要解決此問題並提升整體穩健性，下列哪項做法最適合？,(1) 調整生成模型的回應隨機性參數，以降低答案偏差並提升一致性,(2) 提升檢索與索引的運算效能，以縮短查詢與更新所需時間,(3) 採用索引的增量或分段更新方式，使新資料能即時納入而不需全部重建,(4) 建立常見問題的標準答案集，透過快速檢索回應以降低模型負擔,3
A1-039,A1,039,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,某醫院計畫開發住院日數預測模型，以協助病房調度。多數病人的住院日數集中在 3–7天，但仍有少數重症患者因治療需求而住院日數明顯偏長。醫院希望採用一種合適的評估方式，既能兼顧大部分病人的預測準確度，也能確保對重症個案的預測維持穩健。下列哪一種方法最符合此需求？,(1) 在模型檢核時，同時呈現平均絕對誤差（MAE）與重症子群的誤差指標,(2) 僅針對一般病人樣本進行交叉驗證，以避免重症個案拉高誤差,(3) 將所有病人的住院日數進行標準化處理，以減少數值範圍差異的影響,(4) 只採用單一的整體決定係數 (R²) 作為模型優劣的判斷依據,1
A1-040,A1,040,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,關於監督式學習（Supervised Learning）與非監督式學習（Unsupervised Learning）的目標，下列敘述何者錯誤？1.非監督式學習的核心在於發掘資料內在結構，例如分群、關聯規則與降維，而不依賴外部標籤。2.監督式學習的典型應用為分類與迴歸，通常不適合應用於異常偵測任務。3.非監督式學習若搭配少量標註資料，即會完全轉化為監督式學習。4.監督式學習仰賴已標註的資料集，透過最小化輸出與真實標籤之間的差距，學習輸入與目標之間的對應函數。5.所有監督式學習任務都必須要有大量完整標註資料，否則無法進行任何有效的模型訓練。6.非監督式學習不需要目標變數，僅透過輸入資料本身的特徵分布進行模式學習。,(1) 3、5、6,(2) 1、4、6,(3) 2、4、6,(4) 2、3、5,4
A1-041,A1,041,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,一家旅遊平台希望建立模型，預測顧客下次是否會再次透過該平台訂房。資料包含：顧客 ID、年齡、旅遊次數、平均花費金額、主要交通方式（火車/飛機/自駕/公車）、會員等級（普通/進階/白金）、是否為海外旅遊等。下列哪一種特徵工程方法最適合處理「主要交通方式」欄位？,(1) 布林轉換（Boolean Conversion）,(2) 序數編碼（Ordinal Encoding）,(3) 數值標準化（Numerical Standardization）,(4) One-hot 編碼（One-hot Encoding）,4
A1-042,A1,042,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,一家跨國醫療研究機構希望利用各地醫院的病患資料，建立一個能夠預測疾病早期風險的機器學習模型。由於各國法規限制，病患的原始資料無法集中到單一伺服器。在此情境下，下列哪一種方法最能同時滿足「各醫院保留資料不外流」與「模型仍能跨院學習」的需求？,(1) 資料匿名化（Data Anonymization）,(2) 差分隱私（Differential Privacy）,(3) 聯邦學習（Federated Learning）,(4) 交叉驗證（Cross-validation）,3
A1-043,A1,043,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,某公司欲建立員工離職風險預測模型，資料集中包含「年度績效分數」、「平均每月加班時數」、「年齡」等數值型特徵。由於各特徵的數值範圍差異極大（例如績效分數 1–5、加班時數 0–80、年齡 20–65），若直接輸入至使用梯度下降的邏輯迴歸(Logistic Regression)模型，可能導致模型收斂緩慢或權重偏斜。為提升模型訓練效率與準確度，下列哪一種特徵工程方法最適合應用於這些數值特徵？,(1) 布林轉換（Boolean Conversion）,(2) 時間序列分解（Time Series Decomposition）,(3) One-hot 編碼（One-hot Encoding）,(4) 數值標準化（Numerical Standardization）,4
A1-044,A1,044,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,在機器學習中，「叢集（Clustering）」方法最典型的應用情境是下列何者？,(1) 根據歷史交易紀錄與已標註的詐欺案例，訓練模型來偵測未來的詐欺交易,(2) 使用醫療數據與病患的診斷標籤，建立模型以預測病人是否罹患特定疾病,(3) 根據顧客的消費行為與特徵，將顧客自動劃分為數個群組，以便進行差異化行銷,(4) 透過大量已標註影像，訓練深度學習模型來辨識照片中的物件種類,3
A1-045,A1,045,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,某醫院研究團隊蒐集了大量病患的「收縮壓」數據，經檢驗後顯示此數值大致呈現常態分布。在進行後續模型分析前，研究人員希望妥善處理可能存在的極端血壓數值。下列哪一種做法最為合適？,(1) 將所有極端偏高或偏低的血壓數據直接刪除，以保留最具代表性的病患樣本,(2) 使用對數轉換（Log Transformation），將數據壓縮至更接近常態，以降低極端值的影響,(3) 透過 Z分數（Z-score）或標準差範圍檢測異常值，並依研究需求決定是否調整或移除,(4) 將檢測到的離群值以 Label Encoding 編碼，轉換為序號標籤以避免影響原始分布,3
A1-046,A1,046,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,某電商公司想預測用戶是否會購買特定商品，資料中包含多種用戶屬性與行為特徵。分析師希望選出對購買結果最有預測價值的特徵，以提升模型效能。下列哪一種描述最符合監督式特徵選擇（Supervised Feature Selection）的概念？,(1) 根據特徵的整體分布、變異度或資訊量進行篩選，而不直接參考目標變數,(2) 評估每個特徵與目標變數之間的相關性，選擇對預測結果貢獻最大的特徵,(3) 使用模型評估特徵對預測結果的重要性，並保留對目標變數影響較大的欄位,(4) 將特徵透過降維方法（如 PCA）轉換為新特徵，再用於模型訓練,2
A1-047,A1,047,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,在訓練神經網路時，為了提升模型收斂速度與穩定性，避免梯度消失或梯度爆炸，下列哪一種做法最常被使用？,(1) 對輸入資料進行隨機旋轉或水平翻轉，以增加資料多樣性,(2) 選用 ReLU 或其變體作為隱藏層的啟動函數，以改善梯度傳播,(3) 減少樣本量提升訓練速度,(4) 對目標變數或特徵進行標準化,2
A1-048,A1,048,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,若希望檢視某一連續型數據的分布情形（如集中程度、偏態或是否呈現多峰），下列哪一種應用情境最適合使用直方圖（Histogram） 來進行分析？,(1) 探討顧客年齡資料的整體分布特徵，並檢視是否存在異常集中或分散現象,(2) 比較不同商品在各月份的銷售額變化趨勢，以觀察季節性波動,(3) 追蹤公司近一年營收的時間序列變化，以了解整體成長趨勢,(4) 檢視產品價格與月銷售量之間的關聯性，以評估是否具線性相關,1
A1-049,A1,049,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,下列何者並非我國數位發展部 AI 產品與評測中心在評估大型語言模型安全性時，所指出的常見使用指標？,(1) 資料複雜性,(2) 事實正確性,(3) 偏見與歧視,(4) 惡意與濫用可能性,1
A1-050,A1,050,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,某雲端服務公司計畫將大型語言模型部署於線上系統，並以批次推論（Batch Inference）方式處理每日上百萬筆用戶請求。專案團隊在評估可能遇到的挑戰時，下列哪一項通常不會被視為批次推論階段的主要難題？,(1) 如何確保訓練語料的涵蓋性與標註品質，以避免模型偏差影響輸出,(2) 當批次規模增大時，如何降低推論延遲並保持即時回應能力,(3) 在推論過程中，有效管理與分配龐大的輸入資料量以避免資源壅塞,(4) 在叢集環境中精確安排推論任務，以提升 GPU/TPU等硬體資源的利用率,1
A2-001,A2,001,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,在 Low Code 平台的開發應用設計中，關於「模型（Model）」，下列敘述何者最符合實際情況？,(1) 模型僅扮演設計視覺化的輔助工具，對應用邏輯的影響有限,(2) 模型是用來抽象描述資料結構、業務流程與介面邏輯的核心元素，影響應用的設計與維護,(3) 模型僅依循 UML（Unified Modeling Language）等傳統建模方式，缺乏針對 Low Code 環境的延展性,(4) 模型在 Low Code 平台中已被自動程式碼生成全面取代，實際價值有限,2
