question_id,subject_code,exam_year,exam_session,question_text,mapped_l1_code,mapped_l1_name,mapped_l2_code,mapped_l2_name,mapped_l3_code,mapped_l3_name,mapping_depth,confidence,mapping_reason,keywords,needs_review
A1-011,A1,114,第四梯次,下列哪一類問題最適合使用非監督式學習（Unsupervised Learning）來處理？,L11,人工智慧基礎概論,L113,機器學習概念,L11301,機器學習基本原理,L3,0.95,命中 機器學習基本原理 的明確關鍵詞,"Unsupervised Learning,supervised Learning,監督式學習,非監督式學習",FALSE
A1-012,A1,114,第四梯次,下列哪一種圖表最適合用來呈現並分析「兩個數值型變數」之間的關係，例如觀察身高與體重的相關性？,L11,人工智慧基礎概論,L112,資料處理與分析概念,L11202,資料整理與分析流程,L3,0.94,命中 資料整理與分析流程 的明確關鍵詞,"Histogram,兩個數值型變數」之間的關係,直方圖",FALSE
A1-013,A1,114,第四梯次,下列哪一項應用情境與機器學習類型搭配正確？,L11,人工智慧基礎概論,L113,機器學習概念,L11301,機器學習基本原理,L3,0.95,命中 機器學習基本原理 的明確關鍵詞,"Reinforcement Learning,Supervised Learning,Unsupervised Learning,強化式學習,監督式學習,非監督式學習",FALSE
A1-014,A1,114,第四梯次,某企業分析團隊正在處理一組近兩年的營運與銷售數據，共有四個部門提出了各自的分析需求，請判斷哪一個最接近「預測性分析（Predictive Analysis）」的特性？,L11,人工智慧基礎概論,L112,資料處理與分析概念,L11202,資料整理與分析流程,L3,0.95,命中 資料整理與分析流程 的明確關鍵詞,"Predictive Analysis,視覺化,預測性分析",FALSE
A1-015,A1,114,第四梯次,某模型使用 K-近鄰演算法（KNN）進行分類，K設為 3。 一筆新的測試資料輸入後，與其最接近的 3筆資料的類別如下：鄰近樣本 1：類別A；鄰近樣本 2：類別 B；鄰近樣本 3：類別 A。請問模型會將這筆資料預測為哪一類別？,L11,人工智慧基礎概論,L113,機器學習概念,L11302,常見的機器學習模型,L3,0.95,命中 常見的機器學習模型 的明確關鍵詞,"K-近鄰,KNN",FALSE
A1-016,A1,114,第四梯次,"某團隊想採用循環神經網路（Recurrent Neural Network, RNN）建構長期氣候數據的預測模型，以下哪一項敘述最符合使用 RNN 可能會遇到的挑戰？",L11,人工智慧基礎概論,L113,機器學習概念,L11302,常見的機器學習模型,L3,0.95,命中 常見的機器學習模型 的明確關鍵詞,"RNN,Recurrent Neural,神經網路",FALSE
A1-017,A1,114,第四梯次,一間金融科技公司設計一款智慧投資系統，該系統會根據市場變化自動決定「買進」、「持有」或「賣出」的行動，並根據每次交易後的盈虧結果，逐步優化下一次的投資策略。整個過程中，系統不依賴事先標記的資料，而是根據歷次行動獲得的獎勵進行調整。請問此系統最可能采用哪一種學習方法？,L11,人工智慧基礎概論,L113,機器學習概念,L11301,機器學習基本原理,L3,0.95,命中 機器學習基本原理 的明確關鍵詞,"Reinforcement Learning,Supervised Learning,Unsupervised Learning,強化式學習,監督式學習,非監督式學習",FALSE
A1-018,A1,114,第四梯次,關於 Q-Learning 與 Deep Q-Learning，下列敘述何者最正確？,L11,人工智慧基礎概論,L113,機器學習概念,L11301,機器學習基本原理,L3,0.95,命中 機器學習基本原理 的明確關鍵詞,"Deep Q,Q-Learning",FALSE
A1-019,A1,114,第四梯次,在訓練機器學習模型時，若任務為預測房價，應選用下列哪一種損失函數（Loss Function）來衡量預測誤差？,L11,人工智慧基礎概論,L113,機器學習概念,L11301,機器學習基本原理,L3,0.95,命中 機器學習基本原理 的明確關鍵詞,"Loss Function,損失函數",FALSE
A1-020,A1,114,第四梯次,某醫院希望開發一個系統，根據患者的年齡、血壓與 BMI等資訊，預測其罹患糖尿病的機率（0~1），並依據預測值是否超過 0.5 做出風險警示。下列哪一種模型最適合用於此分類任務？,L11,人工智慧基礎概論,L113,機器學習概念,L11302,常見的機器學習模型,L3,0.94,命中 常見的機器學習模型 的明確關鍵詞,"Decision Tree,K-means,支援向量機,決策樹",FALSE
A1-021,A1,114,第四梯次,某金融科技公司正開發一套違約風險預測系統，需大量處理不同客戶的財務特徵資料。考量到資料特徵數量眾多，且希望提升預測的穩定性與泛化能力，下列哪一種鑑別式 AI模型最適合？,L11,人工智慧基礎概論,L113,機器學習概念,L11302,常見的機器學習模型,L3,0.95,命中 常見的機器學習模型 的明確關鍵詞,"Decision Tree,Random Forest,支援向量機,決策樹,隨機森林",FALSE
A1-022,A1,114,第四梯次,"關於變分自編碼器（Variational Autoencoder, VAE）的運作流程，下列何者敘述最為正確？",L11,人工智慧基礎概論,L113,機器學習概念,L11302,常見的機器學習模型,L3,0.95,命中 常見的機器學習模型 的明確關鍵詞,"VAE,Variational Autoencoder",FALSE
A1-023,A1,114,第四梯次,下列何者不是我國數位發展部 AI 產品與系統評測中心對生成式 AI 的評測項目?,L11,人工智慧基礎概論,L111,人工智慧概念,L11102,AI治理概念,L3,0.95,命中 AI治理概念 的明確關鍵詞,"評測中心,評測項目",FALSE
A1-024,A1,114,第四梯次,在保持 GPT-OSS模型架構不變的前提下，如果將模型參數量從 20億提升至 120億，並假設有足夠的訓練資料支撐，下列敘述何者最正確？,L11,人工智慧基礎概論,L113,機器學習概念,L11302,常見的機器學習模型,L3,0.7,多數線索指向 常見的機器學習模型,"GPT-OSS,參數量能提升",FALSE
A1-025,A1,114,第四梯次,在自然語言處理任務中，為了減少訓練語料中偏見對模型的影響，下列哪種資料處理策略屬於常見的「資料去偏（Data Debiasing）」做法？,L11,人工智慧基礎概論,L111,人工智慧概念,L11102,AI治理概念,L3,0.94,命中 AI治理概念 的明確關鍵詞,"Data Debiasing,資料去偏",FALSE
A1-026,A1,114,第四梯次,在深度學習模型的微調（Fine-tuning）過程中，可能出現所謂的「災難性遺忘（Catastrophic Forgetting）」。此現象最可能造成哪種情況？,L11,人工智慧基礎概論,L114,鑑別式 AI 與生成式 AI 概念,L11402,鑑別式AI與生成式AI的整合應用,L3,0.95,命中 鑑別式AI與生成式AI的整合應用 的明確關鍵詞,"Catastrophic Forgetting,微調（Fine,災難性遺忘",FALSE
A1-027,A1,114,第四梯次,在大型 Transformer 模型的效能優化過程中，常見的方法之一是「剪枝（Pruning）」。下列哪一項最符合該方法的核心概念？,L11,人工智慧基礎概論,L113,機器學習概念,L11302,常見的機器學習模型,L3,0.95,命中 常見的機器學習模型 的明確關鍵詞,"Pruning,Transformer,剪枝",FALSE
A1-028,A1,114,第四梯次,對非常長的輸入序列進行推理（Inference），Transformer模型推理的主要計算瓶頸通常是什麼？,L11,人工智慧基礎概論,L114,鑑別式 AI 與生成式 AI 概念,L11402,鑑別式AI與生成式AI的整合應用,L3,0.91,命中 鑑別式AI與生成式AI的整合應用 的明確關鍵詞,"Transformer模型推理,長的輸入序列",FALSE
A1-029,A1,114,第四梯次,"在「可解釋人工智慧（Explainable AI, XAI）」領域中，LIME（Local Interpretable Model-agnostic Explanations）方法最核心的應用目的是什麼？",L11,人工智慧基礎概論,L111,人工智慧概念,L11102,AI治理概念,L3,0.95,命中 AI治理概念 的明確關鍵詞,"Explainable AI,LIME,XAI,可解釋",FALSE
A1-030,A1,114,第四梯次,"在醫療診斷決策支援系統等高風險領域中，「可解釋人工智慧（Explainable AI, XAI）」的核心價值最主要呈現在哪個面向？",L11,人工智慧基礎概論,L111,人工智慧概念,L11102,AI治理概念,L3,0.95,命中 AI治理概念 的明確關鍵詞,"Explainable AI,XAI,可解釋",FALSE
A1-031,A1,114,第四梯次,在金融科技公司的信貸決策系統中，導入反事實解釋（Counterfactual Explanation）時，實際部署往往伴隨技術與監管挑戰。下列哪一項最符合該情境下的核心挑戰？,L11,人工智慧基礎概論,L111,人工智慧概念,L11102,AI治理概念,L3,0.95,命中 AI治理概念 的明確關鍵詞,"Counterfactual Explanation,反事實解釋",FALSE
A1-032,A1,114,第四梯次,在統計推論中，若樣本來自母體但呈現明顯偏態分布，且樣本數有限，下列哪一項策略最能減少推估母體參數的偏誤？,L11,人工智慧基礎概論,,,,,L1,0.4,統計推論題，初級綱要無對應細項,,TRUE
A1-033,A1,114,第四梯次,在工業物聯網架構中，進行設備預測性維護（Predictive Maintenance）時，若面對異常事件發生頻率極低、樣本高度不平衡的時間序列資料，下列哪一種方法最能兼顧模型穩定性與異常偵測效能？,L11,人工智慧基礎概論,L113,機器學習概念,L11301,機器學習基本原理,L3,0.7,多數線索指向 機器學習基本原理,"異常事件發生頻率極低,監督式學習",FALSE
A1-034,A1,114,第四梯次,在零售業進行客戶行為分析時，資料倉儲中發現多個欄位儲存相同的購買金額資訊（例如：amount_usd、total_price、transaction_value），但其單位、命名慣例及格式不一致，進而導致特徵工程階段混淆模型輸入。針對此種跨欄位語義重疊與結構冗餘問題，下列哪一種資料處理策略最合適且具實務可行性？,L11,人工智慧基礎概論,L112,資料處理與分析概念,L11202,資料整理與分析流程,L3,0.93,命中 資料整理與分析流程 的明確關鍵詞,"One-hot,正規化,特徵工程",FALSE
A1-035,A1,114,第四梯次,某大型零售企業準備將商品推薦模型上線，專案團隊在檢視訓練資料時，發現部分商品類別（例如高價商品）樣本數量極少，而多數樣本集中於低價商品。若此不平衡問題未妥善處理，下列何種狀況最可能在實際推薦結果中發生？,L11,人工智慧基礎概論,L113,機器學習概念,L11301,機器學習基本原理,L3,0.86,命中 機器學習基本原理 的明確關鍵詞,"Precision,Recall,召回率",FALSE
A1-036,A1,114,第四梯次,某電商資料團隊要協助行銷部門規劃再行銷策略。目前取得資料包含使用者點擊、購買紀錄、流量來源與轉換率。若資料團隊希望先進行探索性資料分析（EDA），下列哪一項最符合 EDA的做法？,L11,人工智慧基礎概論,L112,資料處理與分析概念,L11202,資料整理與分析流程,L3,0.7,探索性資料分析（EDA）屬資料整理與分析流程,"EDA,探索性資料分析",FALSE
A1-037,A1,114,第四梯次,某金融科技公司在利用歷史交易資料建立風險控管模型時，嘗試推估整體詐騙交易比例。近期發現，樣本間存在明顯的時間序列相關性，導致模型在實際偵測新交易時誤判率升高。若希望同時改善詐騙比例推估的準確性並提升模型的穩健性，下列哪一種做法最為合適？,L11,人工智慧基礎概論,L112,資料處理與分析概念,L11202,資料整理與分析流程,L3,0.7,多數線索指向 資料整理與分析流程,時間序列相關性,FALSE
A1-038,A1,114,第四梯次,某公司建置基於檢索增強生成（RAG）的知識查詢系統，需同時兼顧查詢效能與資料的即時更新。近期發現回應內容偶爾過時，且每次更新文件都需完整重建索引，導致系統在更新期間無法服務。若要解決此問題並提升整體穩健性，下列哪項做法最適合？,L11,人工智慧基礎概論,L114,鑑別式 AI 與生成式 AI 概念,L11402,鑑別式AI與生成式AI的整合應用,L3,0.94,命中 鑑別式AI與生成式AI的整合應用 的明確關鍵詞,"RAG,檢索增強生成",FALSE
A1-039,A1,114,第四梯次,某醫院計畫開發住院日數預測模型，以協助病房調度。多數病人的住院日數集中在 3–7天，但仍有少數重症患者因治療需求而住院日數明顯偏長。醫院希望採用一種合適的評估方式，既能兼顧大部分病人的預測準確度，也能確保對重症個案的預測維持穩健。下列哪一種方法最符合此需求？,L11,人工智慧基礎概論,L113,機器學習概念,L11302,常見的機器學習模型,L3,0.7,住院日數預測屬選擇機器學習模型,預測模型,FALSE
A1-040,A1,114,第四梯次,關於監督式學習（Supervised Learning）與非監督式學習（Unsupervised Learning）的目標，下列敘述何者錯誤？1.非監督式學習的核心在於發掘資料內在結構，例如分群、關聯規則與降維，而不依賴外部標籤。2.監督式學習的典型應用為分類與迴歸，通常不適合應用於異常偵測任務。3.非監督式學習若搭配少量標註資料，即會完全轉化為監督式學習。4.監督式學習仰賴已標註的資料集，透過最小化輸出與真實標籤之間的差距，學習輸入與目標之間的對應函數。5.所有監督式學習任務都必須要有大量完整標註資料，否則無法進行任何有效的模型訓練。6.非監督式學習不需要目標變數，僅透過輸入資料本身的特徵分布進行模式學習。,L11,人工智慧基礎概論,L113,機器學習概念,L11301,機器學習基本原理,L3,0.95,命中 機器學習基本原理 的明確關鍵詞,"Supervised Learning,Unsupervised Learning,監督式學習,非監督式學習",FALSE
A1-041,A1,114,第四梯次,一家旅遊平台希望建立模型，預測顧客下次是否會再次透過該平台訂房。資料包含：顧客 ID、年齡、旅遊次數、平均花費金額、主要交通方式（火車/飛機/自駕/公車）、會員等級（普通/進階/白金）、是否為海外旅遊等。下列哪一種特徵工程方法最適合處理「主要交通方式」欄位？,L11,人工智慧基礎概論,L112,資料處理與分析概念,L11202,資料整理與分析流程,L3,0.95,命中 資料整理與分析流程 的明確關鍵詞,"One-hot,Standardization,標準化,特徵工程",FALSE
A1-042,A1,114,第四梯次,一家跨國醫療研究機構希望利用各地醫院的病患資料，建立一個能夠預測疾病早期風險的機器學習模型。由於各國法規限制，病患的原始資料無法集中到單一伺服器。在此情境下，下列哪一種方法最能同時滿足「各醫院保留資料不外流」與「模型仍能跨院學習」的需求？,L11,人工智慧基礎概論,L112,資料處理與分析概念,L11203,資料隱私與安全,L3,0.7,跨國醫療資料無法集中屬資料隱私與安全議題,"法規,隱私,跨國",FALSE
A1-043,A1,114,第四梯次,某公司欲建立員工離職風險預測模型，資料集中包含「年度績效分數」、「平均每月加班時數」、「年齡」等數值型特徵。由於各特徵的數值範圍差異極大（例如績效分數 1–5、加班時數 0–80、年齡 20–65），若直接輸入至使用梯度下降的邏輯迴歸(Logistic Regression)模型，可能導致模型收斂緩慢或權重偏斜。為提升模型訓練效率與準確度，下列哪一種特徵工程方法最適合應用於這些數值特徵？,L11,人工智慧基礎概論,L112,資料處理與分析概念,L11202,資料整理與分析流程,L3,0.95,命中 資料整理與分析流程 的明確關鍵詞,"One-hot,Standardization,標準化,特徵工程",FALSE
A1-044,A1,114,第四梯次,在機器學習中，「叢集（Clustering）」方法最典型的應用情境是下列何者？,L11,人工智慧基礎概論,L113,機器學習概念,L11301,機器學習基本原理,L3,0.95,命中 機器學習基本原理 的明確關鍵詞,"Clustering,叢集",FALSE
A1-045,A1,114,第四梯次,某醫院研究團隊蒐集了大量病患的「收縮壓」數據，經檢驗後顯示此數值大致呈現常態分布。在進行後續模型分析前，研究人員希望妥善處理可能存在的極端血壓數值。下列哪一種做法最為合適？,L11,人工智慧基礎概論,L112,資料處理與分析概念,L11202,資料整理與分析流程,L3,0.92,命中 資料整理與分析流程 的明確關鍵詞,"Log Transform,對數轉換,極端值,離群值",FALSE
A1-046,A1,114,第四梯次,某電商公司想預測用戶是否會購買特定商品，資料中包含多種用戶屬性與行為特徵。分析師希望選出對購買結果最有預測價值的特徵，以提升模型效能。下列哪一種描述最符合監督式特徵選擇（Supervised Feature Selection）的概念？,L11,人工智慧基礎概論,L112,資料處理與分析概念,L11202,資料整理與分析流程,L3,0.7,多數線索指向 資料整理與分析流程,特徵選擇,FALSE
A1-047,A1,114,第四梯次,在訓練神經網路時，為了提升模型收斂速度與穩定性，避免梯度消失或梯度爆炸，下列哪一種做法最常被使用？,L11,人工智慧基礎概論,L113,機器學習概念,L11301,機器學習基本原理,L3,0.7,多數線索指向 機器學習基本原理,"梯度消失,梯度爆炸",FALSE
A1-048,A1,114,第四梯次,若希望檢視某一連續型數據的分布情形（如集中程度、偏態或是否呈現多峰），下列哪一種應用情境最適合使用直方圖（Histogram） 來進行分析？,L11,人工智慧基礎概論,L112,資料處理與分析概念,L11202,資料整理與分析流程,L3,0.95,命中 資料整理與分析流程 的明確關鍵詞,"Histogram,直方圖",FALSE
A1-049,A1,114,第四梯次,下列何者並非我國數位發展部 AI 產品與評測中心在評估大型語言模型安全性時，所指出的常見使用指標？,L11,人工智慧基礎概論,L111,人工智慧概念,L11102,AI治理概念,L3,0.95,命中 AI治理概念 的明確關鍵詞,"安全性時，所指出,評測中心",FALSE
A1-050,A1,114,第四梯次,某雲端服務公司計畫將大型語言模型部署於線上系統，並以批次推論（Batch Inference）方式處理每日上百萬筆用戶請求。專案團隊在評估可能遇到的挑戰時，下列哪一項通常不會被視為批次推論階段的主要難題？,L11,人工智慧基礎概論,L114,鑑別式 AI 與生成式 AI 概念,L11402,鑑別式AI與生成式AI的整合應用,L3,0.95,命中 鑑別式AI與生成式AI的整合應用 的明確關鍵詞,"Batch Inference,批次推論",FALSE
A2-001,A2,114,第四梯次,在 Low Code 平台的開發應用設計中，關於「模型（Model）」，下列敘述何者最符合實際情況？,L12,生成式 AI 應用與規劃,L121,No code / Low code 概念,L12101,No Code / Low Code的基本概念,L3,0.95,命中 No Code / Low Code的基本概念 的明確關鍵詞,"Low Code,Low Code 平台",FALSE
A2-002,A2,114,第四梯次,企業在導入生成式 AI平台時，往往需要利用分散於不同部門或機構中的大量敏感文本資料。若希望在確保隱私的前提下，仍能讓模型持續優化並降低資料外洩風險，下列哪一種方法最適合？,L12,生成式 AI 應用與規劃,L123,生成式 AI 導入評估規劃,L12303,生成式AI風險管理,L3,0.85,命中 生成式AI風險管理 的明確關鍵詞,資料外洩,FALSE
A2-003,A2,114,第四梯次,某企業利用 No Code/Low Code平台開發內部營運系統。為確保系統在跨部門流程與外部服務整合下仍具良好的可測試性（Testability），下列哪一項作法最為合適？,L12,生成式 AI 應用與規劃,L121,No code / Low code 概念,L12101,No Code / Low Code的基本概念,L3,0.95,命中 No Code / Low Code的基本概念 的明確關鍵詞,"Low Code,Low Code 平台,Low Code平台,No Code,No Code/Low Code,即時預覽",FALSE
A2-004,A2,114,第四梯次,"某社交平台嘗試結合自動提示工程（Automatic Prompt Engineer, APE）與圖提示（Graph Prompting），讓 AI協助分析使用者之間的互動關係。在這個過程中，下列何者為最可能遇到的挑戰？",L12,生成式 AI 應用與規劃,L122,生成式 AI 應用領域與工具使用,L12202,如何善用生成式AI工具,L3,0.94,命中 如何善用生成式AI工具 的明確關鍵詞,"Prompt,提示工程",FALSE
A2-005,A2,114,第四梯次,"在超長上下文任務中使用自動提示工程（Automatic Prompt Engineer, APE）時，可能面臨的最大限制是什麼？",L12,生成式 AI 應用與規劃,L122,生成式 AI 應用領域與工具使用,L12202,如何善用生成式AI工具,L3,0.94,命中 如何善用生成式AI工具 的明確關鍵詞,"Prompt,提示工程",FALSE
A2-006,A2,114,第四梯次,某設計團隊計畫在短時間內完成一款行動應用程式，必須同時達到高度個人化體驗、快速生成介面與行銷內容自動產出等需求。若結合 No Code/Low Code 平台與生成式 AI 技術，以下哪一種整合策略最能符合目標？,L12,生成式 AI 應用與規劃,L121,No code / Low code 概念,L12101,No Code / Low Code的基本概念,L3,0.95,命中 No Code / Low Code的基本概念 的明確關鍵詞,"Low Code,Low Code 平台,No Code,No Code/Low Code",FALSE
A2-007,A2,114,第四梯次,某團隊希望讓 AI 自動查詢 GitHub 上的程式碼庫，並生成摘要給使用者參考。開發者決定透過 Model Context Protocol（MCP）來實現，AI需先發出請求，再經由 MCP 架構逐步完成查詢與回傳。在此情境下，MCP運作流程的正確順序為何？,L12,生成式 AI 應用與規劃,L123,生成式 AI 導入評估規劃,L12302,生成式AI導入規劃,L3,0.95,命中 生成式AI導入規劃 的明確關鍵詞,"MCP,Model Context Protocol",FALSE
A2-008,A2,114,第四梯次,在 Agent-to-Agent（A2A）架構中，不同代理人之間會分工合作。一般而言，下列敘述何者最符合 Client Agent 與 Remote Agent的互動流程？,L12,生成式 AI 應用與規劃,L123,生成式 AI 導入評估規劃,L12302,生成式AI導入規劃,L3,0.95,命中 生成式AI導入規劃 的明確關鍵詞,"A2A,Agent-to-Agent",FALSE
A2-009,A2,114,第四梯次,在導入生成式 AI的應用規劃中，上下文工程（Context Engineering）的核心目的為何？,L12,生成式 AI 應用與規劃,L123,生成式 AI 導入評估規劃,L12302,生成式AI導入規劃,L3,0.7,上下文工程屬導入規劃中的系統設計,"Context Engineering,上下文",FALSE
A2-010,A2,114,第四梯次,某公司在導入生成式 AI協助撰寫內部報告時，測試人員刻意在輸入的上下文中放入互相矛盾的資訊（例如：同一位員工在不同段落被描述為「入職三年」與「入職五年」）。在這種情況下，最常見的模型行為會是什麼？,L12,生成式 AI 應用與規劃,L123,生成式 AI 導入評估規劃,L12303,生成式AI風險管理,L3,0.7,輸入互相矛盾上下文屬輸出可信度風險,"矛盾,上下文",FALSE
A2-011,A2,114,第四梯次,Agentic AI 在解決方案圖譜（Solution Graph）上尋找最佳解決路徑時，通常會使用什麼樣的搜尋策略？,L12,生成式 AI 應用與規劃,L123,生成式 AI 導入評估規劃,L12302,生成式AI導入規劃,L3,0.95,命中 生成式AI導入規劃 的明確關鍵詞,"Agentic AI,Solution Graph,解決方案圖譜",FALSE
A2-012,A2,114,第四梯次,某企業考慮將開源大型語言模型（GPT-OSS）自行部署在本地伺服器，以取代雲端服務。下列何者最能代表本地部署對企業的實際好處？,L12,生成式 AI 應用與規劃,L123,生成式 AI 導入評估規劃,L12302,生成式AI導入規劃,L3,0.95,命中 生成式AI導入規劃 的明確關鍵詞,"本地伺服器,本地部署",FALSE
A2-013,A2,114,第四梯次,關於 GitHub Copilot，下列敘述何者正確？,L12,生成式 AI 應用與規劃,L122,生成式 AI 應用領域與工具使用,L12201,生成式AI應用領域與常見工具,L3,0.95,命中 生成式AI應用領域與常見工具 的明確關鍵詞,"Copilot,GitHub Copilot,OpenAI",FALSE
A2-014,A2,114,第四梯次,某電商公司導入 Agentic AI來處理客服工作。測試發現 Agent 在回答產品 FAQ 時經常出錯，且無法幫客戶修改訂單。這種情況最可能是因為缺少下列哪兩項工具或技術？,L12,生成式 AI 應用與規劃,L123,生成式 AI 導入評估規劃,L12302,生成式AI導入規劃,L3,0.85,命中 生成式AI導入規劃 的明確關鍵詞,Agentic AI,FALSE
A2-015,A2,114,第四梯次,某客服自動回應系統希望根據不同客戶群體調整回覆風格。在兼顧即時性與效果的前提下，下列哪一種方案最適合？,L12,生成式 AI 應用與規劃,L123,生成式 AI 導入評估規劃,L12302,生成式AI導入規劃,L3,0.65,不同客群風格切換屬部署/客製規劃,"風格,客戶群體",FALSE
A2-016,A2,114,第四梯次,在建置多代理大型語言模型（Multi-agent LLMs）系統時，如果沒有清楚定義每個代理的任務啟動條件和角色分工，最可能出現什麼問題？,L12,生成式 AI 應用與規劃,L123,生成式 AI 導入評估規劃,L12302,生成式AI導入規劃,L3,0.95,命中 生成式AI導入規劃 的明確關鍵詞,"Multi-agent,多代理",FALSE
A2-017,A2,114,第四梯次,某公司部署結合 Fine-tuning與檢索增強生成（RAG）的語言模型系統作為內部文件助理。系統需同時確保回覆語氣一致、能即時查詢每日新增文件、維持效能穩定，並避免頻繁重新訓練。在長期維護與效能平衡下，下列哪一種策略最合適？,L12,生成式 AI 應用與規劃,L123,生成式 AI 導入評估規劃,L12302,生成式AI導入規劃,L3,0.95,命中 生成式AI導入規劃 的明確關鍵詞,"Fine-tuning,RAG,檢索增強生成",FALSE
A2-018,A2,114,第四梯次,某客服系統在回覆「訂單取消政策」時，即使生成溫度固定為 0.6，回覆品質仍常出現差異。調查顯示，檢索到的政策內容有時是最新版本，有時則是過時文件，此外 Prompt約束不足，微調語料也有模糊描述。若要優先改善品質波動，應先解決下列哪一項問題？,L12,生成式 AI 應用與規劃,L123,生成式 AI 導入評估規劃,L12302,生成式AI導入規劃,L3,0.8,RAG 政策內容更新與 prompt 設計屬導入規劃,"RAG,過時文件,prompt",FALSE
A2-019,A2,114,第四梯次,某醫院導入了一套智慧系統，由三個模組構成：語音辨識（ASR） → 語言模型生成（LLM） → 查詢醫療資料庫 API。近期發現部分查詢結果錯誤，例如醫師詢問「術後復健流程」時，系統卻誤判為要查詢「術前注意事項」，因此查詢到錯誤的文件。經檢查已排除語音辨識的錯誤，下列何者最可能是造成查詢錯誤的來源？,L12,生成式 AI 應用與規劃,L123,生成式 AI 導入評估規劃,L12302,生成式AI導入規劃,L3,0.95,命中 生成式AI導入規劃 的明確關鍵詞,"ASR,三個模組,微調",FALSE
A2-020,A2,114,第四梯次,某醫院正在規劃一個 AI專案，目的是協助醫師從胸腔 X光影像中判斷是否存在肺炎徵兆，團隊卻誤將生成式 AI模型運用於影像診斷。下列哪一項最可能成為主要風險？,L12,生成式 AI 應用與規劃,L123,生成式 AI 導入評估規劃,L12303,生成式AI風險管理,L3,0.95,命中 生成式AI風險管理 的明確關鍵詞,"生成式 AI模型運用於影像診斷,誤將生成式 AI",FALSE
