編號,分類,對應PDF,PDF題號,PDF頁碼,內嵌圖片數,圖片尺寸,題幹提及圖表,題組,共用圖數,自有圖數,CSV是否文字補寫,內容判定,風險,PDF題幹
B2-040,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,40,11,1,913x698,是,,0,1,是,FAIL,中：CSV 已文字補寫，需人工核對正確性,請參考附圖，下列虛擬程式碼（pseudocode）最可能是在描述何種驗證法？
B2-041,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,41,12,1,697x759,是,,0,1,是,FAIL,中：CSV 已文字補寫，需人工核對正確性,請參考附圖，下列虛擬程式碼（pseudocode）最可能是在描述何種演算法？
B2-042,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,42,12,1,935x271,是,,0,1,否,FAIL,高：CSV 無圖，作答資訊不足,考慮某生產線每小時出現瑕疵品的個數符合卜瓦松分佈（PoissonDistribution），已知平均每小時產生5個瑕疵品，附圖程式碼展示資料處理，請問下列敘述何者正確？
B2-043,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,43,14,2,1006x355; 913x464,否,第43~47題共用,2,0,否,FAIL,高：CSV 無圖，作答資訊不足,分析師在載入資料後，檢視Year欄位的資料型態，發現它是float64，而非一般年份常用的整數。他想了解這樣的情形為什麼會發生。請問下列哪些原因可能導致這種狀況？原因A：CSV檔中Year欄位有缺失值
B2-044,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,44,14,2,1006x355; 913x464,否,第43~47題共用,2,0,否,FAIL,高：CSV 無圖，作答資訊不足,研究團隊接下來想要將Year欄位轉換為整數型態，以便後續進行年份趨勢分析。考慮到資料中可能包含缺失值（NaN），請選出最合適的轉換方式。
B2-045,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,45,14,2,1006x355; 913x464,是,第43~47題共用,2,0,否,FAIL,高：CSV 無圖，作答資訊不足,為了觀察各遊戲平台的市場表現，分析師想要統計每個平台的全球銷售總額，並以長條圖呈現。請選出最能正確實現此分析的程式碼。
B2-046,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,46,15,2,1006x355; 913x464,是,第43~47題共用,2,0,否,FAIL,高：CSV 無圖，作答資訊不足,團隊希望比較北美、歐洲、日本及其他地區的整體銷售比例，並使用seaborn套件以長條圖的形式進行可視化分析。請選出能正確顯示這些地區銷售總額比例的程式碼。
B2-047,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,47,15,2,1006x355; 913x464,是,第43~47題共用,2,0,否,FAIL,高：CSV 無圖，作答資訊不足,研究團隊想要知道在北美地區（NA）銷售成績最好的遊戲前五名，並希望以seaborn的條狀圖呈現結果。請選出能正確完成這項分析的程式碼。
B2-048,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,48,16,2,606x108; 829x584,否,第48~50題共用,2,0,否,FAIL,高：CSV 無圖，作答資訊不足,根據上述結果，下列何者正確？
B2-049,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,49,16,3,239x170; 606x108; 829x584,是,第48~50題共用,2,1,否,FAIL,高：CSV 無圖，作答資訊不足,參考下圖計算各變數的遺漏值(NaN)個數結果，下列何者正確？選項A:df.isnull().sum()選項B:df.isNaN().sum()選項C:df.isna().sum()選項D:df.isn
B2-050,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,50,17,3,1194x1044; 606x108; 829x584,是,第48~50題共用,2,1,否,FAIL,高：CSV 無圖，作答資訊不足,"考慮資料集已經填補遺漏值，參考下圖執行結果，下列何者正確？A：空格1完整語法reg=LinearRegression().fit(y,X)B：空格1完整語法reg=LinearRegression()"
B3-024,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,24,6,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,某房地產公司利用多元迴歸模型（MultipleRegressionModel）預測房價，並繪製殘差圖（ResidualPlot）檢查模型品質。結果顯示部分資料點的殘差極大，且在高價區樣本中出現系統性彎
B3-038,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,38,10,1,444x56,是,,0,1,是,FAIL,中：CSV 已文字補寫，需人工核對正確性,附圖程式碼所計算的是哪一類型的評估指標？
B3-039,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,39,10,1,861x230,是,,0,1,是,FAIL,中：CSV 已文字補寫，需人工核對正確性,附圖程式碼實現的是哪一種正則化技術？
B3-040,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,40,10,1,567x248,是,,0,1,是,FAIL,中：CSV 已文字補寫，需人工核對正確性,依據附圖程式碼進行資料處理，下列何者正確？
B3-041,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,41,10,1,810x415,是,,0,1,否,FAIL,高：CSV 無圖，作答資訊不足,考慮擲出骰子並採用MonteCarlo方法估算條件機率，參考附圖程式碼。事件A：擲出偶數事件B：擲出大於3請問下列何者為條件機率P(A∣B)的正確值？
B3-042,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,42,13,1,813x103,否,第42~45題共用,1,0,否,FAIL,高：CSV 無圖，作答資訊不足,在深度神經網路中，不同層的參數量（parametercount）差異極大。有些層雖然數量少但計算量大，有些則相反。了解參數分佈情形，有助於模型壓縮與遷移學習設計。請問在VGG16中，下列何者的參數量最
B3-043,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,43,13,1,813x103,否,第42~45題共用,1,0,否,FAIL,高：CSV 無圖，作答資訊不足,在神經網路中，了解各層的運算量分佈，有助於模型壓縮與硬體加速的策略設計。請問在VGG16中，下列何者運算量(FLOPs)最多？
B3-044,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,44,13,1,813x103,否,第42~45題共用,1,0,否,FAIL,高：CSV 無圖，作答資訊不足,VGG16層數深且結構規則，由多層卷積、池化及全連接層組成。了解各層的輸入/輸出維度、參數量及記憶體需求，有助於掌握CNN模型的組成邏輯與實作技巧。根據VGG16的模型架構，下列敘述何者正確？
B3-045,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,45,13,7,901x188; 907x189; 907x189; 908x167; 1020x142; 845x173; 813x103,是,第42~45題共用,1,6,是,FAIL,中：CSV 已文字補寫，需人工核對正確性,在實務應用中，我們常使用遷移學習(transferlearning)技巧，即載入預訓練模型（如VGG16），凍結部分層的參數，只針對特定任務重新訓練最後幾層，這種做法可節省訓練時間並提升模型效能。假設
B3-046,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,46,15,3,902x182; 867x135; 971x74,是,第46~47題共用,1,2,否,FAIL,高：CSV 無圖，作答資訊不足,假設研究人員已將含有雜訊的手寫數字影像存放在變數noisy中。部分資料經視覺化後的外觀如下：他們嘗試使用PCA進行降噪，並希望能保留影像的主要特徵，同時去除影像中的雜訊。然而，當程式執行後，觀察到影像
B3-047,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,47,15,5,1058x278; 1009x264; 1020x237; 1010x237; 971x74,是,第46~47題共用,1,4,否,FAIL,高：CSV 無圖，作答資訊不足,研究人員在對digits資料集進行分類時，決定使用KNN並搭配交叉驗證來評估模型準確率。他們撰寫了四組不同的程式碼來進行KNN訓練與交叉驗證，但不確定哪幾組程式碼能正確執行並輸出準確率。每組程式碼在資
B3-048,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,48,17,5,688x238; 938x454; 998x302; 980x290; 1073x400,是,第48~50題共用,4,1,否,FAIL,高：CSV 無圖，作答資訊不足,參考下圖程式碼，下列何者正確？A：X_train-=X_train.mean(axis=0)將每個訓練集特徵的平均值調整為0B：X_train/=X_train.std(axis=0)將每個訓練集特徵
B3-049,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,49,18,6,1004x518; 211x85; 938x454; 998x302; 980x290; 1073x400,是,第48~50題共用,4,2,是,FAIL,中：CSV 已文字補寫，需人工核對正確性,參考下圖執行結果，下列何者正確？
B3-050,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,50,18,7,1021x63; 1094x510; 717x553; 938x454; 998x302; 980x290; 1073x400,是,第48~50題共用,4,3,是,FAIL,中：CSV 已文字補寫，需人工核對正確性,"參考下圖執行結果，下列何者正確？A：空格1須填入""b-""B：空格2須填入""b--""C：空格1須填入""r-""D：空格2須填入""r--""E：驗證損失明顯較訓練損失減少更明顯"
A1-063,A1,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,13,3,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,根據《金融機構運用人工智慧技術作業規範》，金融機構於使用人工智慧提供金融服務並直接與消費者互動時，下列何者非必要揭露之資訊？
A1-086,A1,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,36,8,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,某電子製造公司建置AI視覺檢測系統，用於辨識PCB電路板製程缺陷。系統在影像判讀任務上表現穩定，但其模型設計與訓練目標皆侷限於特定應用範圍，無法直接遷移至其他營運決策任務。依人工智慧能力範疇分類，下列
A2-068,A2,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,18,4,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,關於ChatGPT、AnthropicClaude、GitHubCopilot等AI程式碼輔助工具的運作原理，下列敘述何者正確？
A2-069,A2,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,19,5,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,某新創公司採用MVP（MinimumViableProduct）策略，導入VibeCoding以加速開發，雖然初期能快速產出可運作功能，但技術主管提醒，在正式上線前仍可能存在程式碼品質與安全風險。下列
A2-079,A2,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,29,7,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,某農業合作社希望建立一套自動化工作流程，當農民透過手機APP回報田間病蟲害照片時，系統能自動通知相關專家、建立案件紀錄並排程現場訪查。該合作社IT資訊人力有限，僅有一位具備基礎程式概念的人員。下列哪一
A1-141,A1,115年第二次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260604212644.pdf,41,11,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,某資安公司正在評估導入機器學習模型來偵測網路流量中的異常連線行為。技術團隊在比較各種演算法時，其中一位工程師建議採用支援向量機（SVM）。請問下列何者最正確敘述支援向量機的特性？
A2-106,A2,115年第二次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260604212719.pdf,6,2,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,某物流公司評估導入No-Code／Low-Code平台，希望能與現有的ERP系統、倉儲管理系統及客戶通知平台進行資料串接。若主要考量系統整合能力，而非介面美觀度或功能豐富性，下列哪一項平台特性最能滿足
A2-113,A2,115年第二次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260604212719.pdf,13,4,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,某新創公司正在評估開發方式，產品負責人希望讓非技術背景的業務同仁也能參與功能原型的快速開發。團隊討論採用VibeCoding與Low-Code兩種方式。請問下列哪一項對於VibeCoding與Low-
A2-114,A2,115年第二次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260604212719.pdf,14,4,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,某軟體開發公司評估導入AgenticCoding工具（如ClaudeCode），並規劃相應的人工審核機制。請問下列何者最能正確敘述此類工具在開發流程中，所支援的核心操作能力？
A2-132,A2,115年第二次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260604212719.pdf,32,9,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,某市政府交通局委託系統商開發公車到站預測系統，開發團隊想導入AI程式設計助手（如GitHubCopilot、Cursor）來加速開發進度。下列關於AI程式設計助手的敘述，何者最正確？
A2-138,A2,115年第二次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260604212719.pdf,38,10,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,某使用者在操作ChatGPT時，要求系統「產生一張簡報架構圖」。模型隨即輸出一段具有固定語法規則的結構化文字（例如可用來描述流程或架構的標記語言），並可進一步渲染為圖表，而非僅生成文字描述。請問此能力
B1-069,B1,115年第一次中級AI應用規劃師_第一科_人工智慧技術應用與規劃_公告試題_20260615003359.pdf,19,6,1,838x401,是,,0,1,否,PASS,高：CSV 無圖，作答資訊不足,一家電商公司已將推薦系統AI模型上線三個月，業務主管要求專案團隊評估導入成效。團隊根據下圖數據得出結論：「因為AUC高達0.91，模型表現優異，AI導入成效良好。」請問此評估結論存在什麼根本問題？
B2-052,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,2,1,1,135x68,是,,0,1,否,PASS,高：CSV 無圖，作答資訊不足,下圖為吉尼不純度（GiniImpurity）的計算公式，在決策樹（DecisionTree）中，吉尼不純度用於評估節點分裂的品質。關於吉尼不純度，下列敘述何者不正確？
B2-058,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,8,2,1,152x70,是,,0,1,否,FAIL,高：CSV 無圖，作答資訊不足,某咖啡店聲稱其平均外送時間為36分鐘，母體標準差為16分鐘。顧客保護團體抽樣9筆訂單，發現平均外送時間為40分鐘。若採用右尾Z檢定（H₁:μ>36），顯著水準α=0.05（臨界值Z₀.₀₅=1.645
B2-069,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,19,5,1,328x406,是,,0,1,否,FAIL,高：CSV 無圖，作答資訊不足,下圖表為電商平台某時段的交易紀錄（共8筆訂單），對圖表內的資料執行Apriori演算法，設定最低支援度為3。請問最終保留下來的最大頻繁項目集為何？
B2-073,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,23,7,1,271x258,是,,0,1,否,PASS,高：CSV 無圖，作答資訊不足,"ReceiverOperatingCharacteristic（ROC）曲線係由單一分類模型在不同決策閾值下形成，並以真陽率（TruePositiveRate,TPR）為縱軸、假陽率（FalsePos"
B2-089,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,39,12,1,510x343,是,,0,1,否,PASS,高：CSV 無圖，作答資訊不足,在建構自動化資料清洗管線時，工程師撰寫一個用於補齊缺失欄位的Python函式，如下圖所示。當此函式連續處理兩筆獨立的資料（row1與row2）後，請問第二筆資料row2['tags']的內容會為何？
B2-090,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,40,12,1,553x482,是,,0,1,否,FAIL,高：CSV 無圖，作答資訊不足,下圖為一段分類演算法的pseudocode，請問最可能對應下列哪一種演算法？
B2-091,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,41,13,1,507x106,是,第41~44題共用,0,1,否,FAIL,高：CSV 無圖，作答資訊不足,資料分析師使用Python檢視daily_earnings欄位的基本統計量，執行以下程式碼（Pandas2以上版本）：輸出結果如下：●mean：223.411306●50%：128.552462●ma
B2-093,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,43,14,1,347x140,是,第41~44題共用,0,1,否,PASS,高：CSV 無圖，作答資訊不足,平台安全部門發現，僅有極少數司機（約占總體0.05%）會利用外掛程式竄改gps_ping_rate，以騙取里程補貼。某新進資料科學家訓練了一個二元分類模型，並在報告中指出：「模型整體準確率（Accur
B2-095,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,45,15,0,(無內嵌點陣圖：向量圖或文字表格),是,第45~47題共用,0,0,否,PASS,高：CSV 無圖，作答資訊不足,若分析師想找出「總貢獻營收最高的前3名客戶」，下列Pandas程式碼何者最為精確且高效？
B2-098,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,48,16,1,703x548,是,第48~50題共用,1,0,否,PASS,高：CSV 無圖，作答資訊不足,在進行機器學習建模前，資料分析師需對特徵變數X進行標準化處理，以消除不同量尺所造成的影響。已知使用StandardScaler進行資料轉換，程式碼如下：scaler=StandardScaler()。
B2-099,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,49,16,5,857x77; 856x83; 858x81; 858x91; 703x548,是,第48~50題共用,1,4,否,FAIL,高：CSV 無圖，作答資訊不足,在進行機器學習建模前，資料分析師已完成資料前處理（包含遺漏值處理與特徵標準化），並準備建立分類模型。已知資料流程如下：1.將資料區分為訓練集與測試集2.建立羅吉斯迴歸（LogisticRegressi
B2-100,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,50,17,2,1586x704; 703x548,是,第48~50題共用,1,1,否,PASS,高：CSV 無圖，作答資訊不足,參考下圖程式碼，下列描述何者正確？
B3-065,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,15,4,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,某資料科學家將客戶資料進行分群，使用K-means（K=5）後發現部分群集呈現半月形（非凸）結構，且資料中存在少數離群值（Outliers）。他同時觀察到每次執行結果略有不同。下列敘述何者最完整且準確
B3-090,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,40,11,1,744x364,是,,0,1,否,FAIL,高：CSV 無圖，作答資訊不足,分析師準備建立一個能將手寫數字圖片（28x28像素展平為784維度）分為0~9共10個類別的多層感知機（MLP），且標籤已轉為One-Hot編碼（One-HotEncoding）。為符合10個類別的單
B3-091,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,41,11,1,862x532,是,,0,1,否,FAIL,高：CSV 無圖，作答資訊不足,工程師使用PyTorch建立OCR訓練pipeline，並對手寫字母資料集套用下圖程式進行資料增強（Transform）。模型在訓練過程中顯示驗證損失（ValidationLoss）持續下降，但實際部
B3-092,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,42,12,1,586x267,否,第42~43題共用,1,0,否,FAIL,高：CSV 無圖，作答資訊不足,觀察程式中行
B3-093,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,43,12,1,586x267,否,第42~43題共用,1,0,否,FAIL,高：CSV 無圖，作答資訊不足,在進行遷移學習微調（Fine-Tuning）時，通常會將優化器的學習率（LearningRate）設得非常小（如1e-4），下列何者為主要的原因？
B3-094,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,44,13,5,1037x396; 1153x269; 1153x85; 1153x299; 1153x287,是,第44~45題共用,4,1,否,FAIL,高：CSV 無圖，作答資訊不足,研究人員撰寫的程式中（下圖），先用整體資料進行LDA（LinearDiscriminantAnalysis）降維，接著再用KNN（K-NearestNeighbors）進行分類，並用交叉驗證來評估準確
B3-095,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,45,14,6,1037x350; 723x152; 1153x269; 1153x85; 1153x299; 1153x287,是,第44~45題共用,4,2,否,FAIL,高：CSV 無圖，作答資訊不足,研究人員在程式（下圖）中使用cross_val_score進行交叉驗證，但目前尚未設定cv參數。他們希望確保在每次資料分割時，訓練集與測試集的類別比例與原始資料一致，以免影響模型的準確率估計。目前有以
B3-096,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,46,15,5,951x166; 700x215; 1207x245; 412x447; 361x76,是,第46~48題共用,3,2,否,FAIL,高：CSV 無圖，作答資訊不足,參考下圖資料處理，下列哪一項描述組合正確？
B3-097,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,47,16,5,1552x1289; 1041x258; 1207x245; 412x447; 361x76,是,第46~48題共用,3,2,否,PASS,高：CSV 無圖，作答資訊不足,參考下圖建立模型結果，下列哪一項描述組合正確？
B3-098,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,48,16,4,1166x914; 1207x245; 412x447; 361x76,是,第46~48題共用,3,1,否,FAIL,高：CSV 無圖，作答資訊不足,參考下圖繪圖結果，當Epochs=6時，訓練曲線值(0.81)明顯大於驗證曲線值(0.72)，下列何者為最可能的原因？
B3-100,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,50,18,1,404x148,否,第49~50題共用,0,1,否,PASS,高：CSV 無圖，作答資訊不足,為了修復訓練過程中Loss突然變成NaN的問題，工程師考慮在PyTorch訓練迴圈中加入梯度裁剪（GradientClipping）機制，例如torch.nn.utils.clip_grad_norm
