編號,分類,對應PDF,PDF題號,CSV題號,內容判定,答案判定,溯源判定,題號判定,顯示判定,圖片依賴,內嵌圖片數,差異類型,內容差異明細,其他問題,差異摘要
A1-017,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,17,17,FAIL,PASS,PASS,PASS,PASS,否,0,C5 字元層級瑕疵,題幹不符（C5：刪0/增0/改1）,-,"PDF「一間金融科技公司設計一款智慧投資系統,該系統會根據市場變化自動決定""買進"",""持有""或""賣出""的行動,並根據每次交易後的盈虧結果,逐步優化下一次的投資策略.整個」｜CSV「一間金融科技公司設計一款智慧投資系統,該系統會根據市場變化自動決定""買進"",""持有""或""賣出""的行動,並根據每次交易後的盈虧結果,逐步優化下一次的投資策略.整個」"
A1-018,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,18,18,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-019,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,19,19,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-020,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,20,20,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-021,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,21,21,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-022,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,22,22,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-023,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,23,23,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-024,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,24,24,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-025,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,25,25,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-026,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,26,26,PASS,PASS,PASS,PASS,PASS,是,0,-,完全一致,-,
A1-027,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,27,27,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-028,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,28,28,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-029,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,29,29,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-030,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,30,30,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-031,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,31,31,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-032,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,32,32,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-033,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,33,33,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-034,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,34,34,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-035,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,35,35,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-036,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,36,36,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-037,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,37,37,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-038,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,38,38,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-039,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,39,39,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-040,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,40,40,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-041,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,41,41,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-042,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,42,42,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-043,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,43,43,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-044,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,44,44,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-045,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,45,45,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-046,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,46,46,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-047,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,47,47,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-048,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,48,48,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-049,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,49,49,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-050,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,50,50,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-001,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,1,1,PASS,PASS,PASS,PASS,PASS,是,0,-,完全一致,-,
A2-002,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,2,2,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-003,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,3,3,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-004,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,4,4,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-005,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,5,5,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-006,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,6,6,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-007,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,7,7,PASS,PASS,PASS,PASS,PASS,是,0,-,完全一致,-,
A2-008,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,8,8,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-009,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,9,9,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-010,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,10,10,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-011,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,11,11,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-012,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,12,12,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-013,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,13,13,PASS,PASS,PASS,PASS,PASS,是,0,-,完全一致,-,
A2-014,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,14,14,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-015,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,15,15,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-016,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,16,16,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-017,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,17,17,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-018,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,18,18,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-019,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,19,19,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-020,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,20,20,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-021,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,21,21,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-022,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,22,22,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-023,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,23,23,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-024,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,24,24,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-025,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,25,25,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-026,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,26,26,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-027,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,27,27,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-028,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,28,28,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-029,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,29,29,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-030,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,30,30,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-031,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,31,31,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-032,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,32,32,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-033,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,33,33,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-034,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,34,34,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-035,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,35,35,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-036,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,36,36,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-037,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,37,37,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-038,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,38,38,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-039,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,39,39,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-040,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,40,40,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-041,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,41,41,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-042,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,42,42,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-043,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,43,43,PASS,PASS,PASS,PASS,PASS,是,0,-,完全一致,-,
A2-044,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,44,44,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-045,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,45,45,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-046,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,46,46,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-047,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,47,47,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-048,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,48,48,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-049,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,49,49,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A2-050,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,50,50,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-001,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,1,1,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-002,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,2,2,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-003,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,3,3,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-004,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,4,4,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-005,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,5,5,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-006,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,6,6,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-007,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,7,7,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-008,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,8,8,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-009,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,9,9,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-010,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,10,10,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-011,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,11,11,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-012,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,12,12,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-013,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,13,13,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-014,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,14,14,PASS,PASS,PASS,PASS,PASS,是,0,-,完全一致,-,
B1-015,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,15,15,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-016,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,16,16,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-017,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,17,17,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-018,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,18,18,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-019,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,19,19,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-020,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,20,20,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-021,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,21,21,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-022,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,22,22,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-023,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,23,23,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-024,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,24,24,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-025,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,25,25,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-026,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,26,26,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-027,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,27,27,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-028,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,28,28,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-029,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,29,29,PASS,PASS,PASS,PASS,PASS,是,0,-,完全一致,-,
B1-030,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,30,30,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-031,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,31,31,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-032,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,32,32,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-033,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,33,33,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-034,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,34,34,FAIL,FAIL,PASS,PASS,PASS,否,0,C0 答案錯誤,答案錯誤：PDF=D(應為4)，CSV=3,-,
B1-035,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,35,35,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-036,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,36,36,PASS,PASS,PASS,PASS,PASS,是,0,-,完全一致,-,
B1-037,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,37,37,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-038,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,38,38,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-039,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,39,39,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-040,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,40,40,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-041,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,41,41,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
