編號,分類,對應PDF,PDF題號,圖片數,圖片檔名,題幹
B3-040,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,40,1,B3-040.png,依據附圖程式碼進行資料處理，下列何者正確？
B3-041,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,41,2,B3-041.png,考慮擲出骰子並採用MonteCarlo方法估算條件機率，參考附圖程式碼。事件A：擲出偶數事件B：擲出大於3請問下列何者為條件機率P(A∣B)的正確值？
B3-045,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,45,6,B3-045_p14.png;B3-045_p15.png,在實務應用中，我們常使用遷移學習(transferlearning)技巧，即載入預訓練模型（如VGG16），凍結部分層的參數，只針對特定任務重新訓練最後幾層，這
B3-046,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,46,3,B3-046.png,假設研究人員已將含有雜訊的手寫數字影像存放在變數noisy中。部分資料經視覺化後的外觀如下：他們嘗試使用PCA進行降噪，並希望能保留影像的主要特徵，同時去除影像
B3-047,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,47,5,B3-047_p15.png;B3-047_p16.png,研究人員在對digits資料集進行分類時，決定使用KNN並搭配交叉驗證來評估模型準確率。他們撰寫了四組不同的程式碼來進行KNN訓練與交叉驗證，但不確定哪幾組程式
B3-048,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,48,1,B3-048.png,參考下圖程式碼，下列何者正確？A：X_train-=X_train.mean(axis=0)將每個訓練集特徵的平均值調整為0B：X_train/=X_train
B3-049,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,49,2,B3-049.png,參考下圖執行結果，下列何者正確？
B3-050,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,50,3,B3-050_p18.png;B3-050_p19.png,"參考下圖執行結果，下列何者正確？A：空格1須填入""b-""B：空格2須填入""b--""C：空格1須填入""r-""D：空格2須填入""r--""E：驗證損失明顯較訓練損失減"
B3-090,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,40,1,B3-090.png,分析師準備建立一個能將手寫數字圖片（28x28像素展平為784維度）分為0~9共10個類別的多層感知機（MLP），且標籤已轉為One-Hot編碼（One-Hot
B3-091,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,41,1,B3-091.png,工程師使用PyTorch建立OCR訓練pipeline，並對手寫字母資料集套用下圖程式進行資料增強（Transform）。模型在訓練過程中顯示驗證損失（Vali
B3-094,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,44,1,B3-094.png,研究人員撰寫的程式中（下圖），先用整體資料進行LDA（LinearDiscriminantAnalysis）降維，接著再用KNN（K-NearestNeighb
B3-095,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,45,3,B3-095_p14.png;B3-095_p15.png,研究人員在程式（下圖）中使用cross_val_score進行交叉驗證，但目前尚未設定cv參數。他們希望確保在每次資料分割時，訓練集與測試集的類別比例與原始資料
B3-096,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,46,2,B3-096.png,參考下圖資料處理，下列哪一項描述組合正確？
B3-097,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,47,2,B3-097.png,參考下圖建立模型結果，下列哪一項描述組合正確？
B3-098,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,48,1,B3-098.png,參考下圖繪圖結果，當Epochs=6時，訓練曲線值(0.81)明顯大於驗證曲線值(0.72)，下列何者為最可能的原因？
B3-100,B3,115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,50,1,B3-100.png,為了修復訓練過程中Loss突然變成NaN的問題，工程師考慮在PyTorch訓練迴圈中加入梯度裁剪（GradientClipping）機制，例如torch.nn.
