編號,分類,題組,現況圖片檔,共用此檔的題號,正確圖片檔,判定,題幹
B2-050,B2,第48~50題,B2-050.png,,fig_G_B2-048_p15.png;fig_G_B2-048_p16.png;fig_B2-050.png,✅ 專屬檔案，題號對應正確,"考慮資料集已經填補遺漏值，參考下圖執行結果，下列何者正確？A：空格1完整語法reg=LinearRegression().fit(y,X)B"
B2-052,B2,,B2-052.png,B2-052、B2-091,fig_B2-052.png,⚠️ 與其他 1 題共用同一檔，需確認是否為題組共用圖,下圖為吉尼不純度（GiniImpurity）的計算公式，在決策樹（DecisionTree）中，吉尼不純度用於評估節點分裂的品質。關於吉尼不
B2-058,B2,,B2-058.png,,fig_B2-058.png,✅ 專屬檔案，題號對應正確,某咖啡店聲稱其平均外送時間為36分鐘，母體標準差為16分鐘。顧客保護團體抽樣9筆訂單，發現平均外送時間為40分鐘。若採用右尾Z檢定（H₁:μ
B2-069,B2,,B2-069.png,,fig_B2-069.png,✅ 專屬檔案，題號對應正確,下圖表為電商平台某時段的交易紀錄（共8筆訂單），對圖表內的資料執行Apriori演算法，設定最低支援度為3。請問最終保留下來的最大頻繁項目集
B2-073,B2,,B2-073.png,,fig_B2-073.png,✅ 專屬檔案，題號對應正確,ReceiverOperatingCharacteristic（ROC）曲線係由單一分類模型在不同決策閾值下形成，並以真陽率（TruePos
B2-089,B2,,B2-089.png,,fig_B2-089.png,✅ 專屬檔案，題號對應正確,在建構自動化資料清洗管線時，工程師撰寫一個用於補齊缺失欄位的Python函式，如下圖所示。當此函式連續處理兩筆獨立的資料（row1與row2
B2-090,B2,,B2-090.png,,fig_B2-090.png,✅ 專屬檔案，題號對應正確,下圖為一段分類演算法的pseudocode，請問最可能對應下列哪一種演算法？
B2-091,B2,第41~44題,B2-091.png,B2-052、B2-091,fig_B2-091.png,⚠️ 與其他 1 題共用同一檔，需確認是否為題組共用圖,資料分析師使用Python檢視daily_earnings欄位的基本統計量，執行以下程式碼（Pandas2以上版本）：輸出結果如下：●mea
B2-093,B2,第41~44題,B2-093.png,,fig_B2-093.png,✅ 專屬檔案，題號對應正確,平台安全部門發現，僅有極少數司機（約占總體0.05%）會利用外掛程式竄改gps_ping_rate，以騙取里程補貼。某新進資料科學家訓練了一
B2-098,B2,第48~50題,G_B2-098.png,,fig_G_B2-098.png,✅ 專屬檔案，題號對應正確,在進行機器學習建模前，資料分析師需對特徵變數X進行標準化處理，以消除不同量尺所造成的影響。已知使用StandardScaler進行資料轉換，
B2-099,B2,第48~50題,B2-099.png,,fig_G_B2-098.png;fig_B2-099.png,✅ 專屬檔案，題號對應正確,在進行機器學習建模前，資料分析師已完成資料前處理（包含遺漏值處理與特徵標準化），並準備建立分類模型。已知資料流程如下：1.將資料區分為訓練集
B2-100,B2,第48~50題,B2-100.png,,fig_G_B2-098.png;fig_B2-100.png,✅ 專屬檔案，題號對應正確,參考下圖程式碼，下列描述何者正確？
B3-038,B3,,B3-038.png,B3-038、B3-039、B3-040、B3-041,fig_B3-038.png,⚠️ 與其他 3 題共用同一檔，需確認是否為題組共用圖,附圖程式碼所計算的是哪一類型的評估指標？
B3-039,B3,,B3-039.png,B3-038、B3-039、B3-040、B3-041,fig_B3-039.png,⚠️ 與其他 3 題共用同一檔，需確認是否為題組共用圖,附圖程式碼實現的是哪一種正則化技術？
B3-040,B3,,B3-040.png,B3-038、B3-039、B3-040、B3-041,fig_B3-040.png,⚠️ 與其他 3 題共用同一檔，需確認是否為題組共用圖,依據附圖程式碼進行資料處理，下列何者正確？
B3-041,B3,,B3-041.png,B3-038、B3-039、B3-040、B3-041,fig_B3-041.png,⚠️ 與其他 3 題共用同一檔，需確認是否為題組共用圖,考慮擲出骰子並採用MonteCarlo方法估算條件機率，參考附圖程式碼。事件A：擲出偶數事件B：擲出大於3請問下列何者為條件機率P(A∣B)
B3-042,B3,第42~45題,G_B3-042.png,,fig_G_B3-042.png,✅ 專屬檔案，題號對應正確,在深度神經網路中，不同層的參數量（parametercount）差異極大。有些層雖然數量少但計算量大，有些則相反。了解參數分佈情形，有助於模
B3-043,B3,第42~45題,G_B3-042.png,,fig_G_B3-042.png,✅ 專屬檔案，題號對應正確,在神經網路中，了解各層的運算量分佈，有助於模型壓縮與硬體加速的策略設計。請問在VGG16中，下列何者運算量(FLOPs)最多？
B3-044,B3,第42~45題,G_B3-042.png,,fig_G_B3-042.png,✅ 專屬檔案，題號對應正確,VGG16層數深且結構規則，由多層卷積、池化及全連接層組成。了解各層的輸入/輸出維度、參數量及記憶體需求，有助於掌握CNN模型的組成邏輯與實
B3-045,B3,第42~45題,B3-045_p15.png,,fig_G_B3-042.png;fig_B3-045_p14.png;fig_B3-045_p15.png,✅ 專屬檔案，題號對應正確,在實務應用中，我們常使用遷移學習(transferlearning)技巧，即載入預訓練模型（如VGG16），凍結部分層的參數，只針對特定任務
B3-046,B3,第46~47題,B3-046.png,,fig_G_B3-046.png;fig_B3-046.png,✅ 專屬檔案，題號對應正確,假設研究人員已將含有雜訊的手寫數字影像存放在變數noisy中。部分資料經視覺化後的外觀如下：他們嘗試使用PCA進行降噪，並希望能保留影像的主
B3-047,B3,第46~47題,B3-047_p16.png,,fig_G_B3-046.png;fig_B3-047_p15.png;fig_B3-047_p16.png,✅ 專屬檔案，題號對應正確,研究人員在對digits資料集進行分類時，決定使用KNN並搭配交叉驗證來評估模型準確率。他們撰寫了四組不同的程式碼來進行KNN訓練與交叉驗證
B3-048,B3,第48~50題,B3-048.png,,fig_G_B3-048_p16.png;fig_G_B3-048_p17.png;fig_B3-048.png,✅ 專屬檔案，題號對應正確,參考下圖程式碼，下列何者正確？A：X_train-=X_train.mean(axis=0)將每個訓練集特徵的平均值調整為0B：X_trai
B3-049,B3,第48~50題,B3-049.png,,fig_G_B3-048_p16.png;fig_G_B3-048_p17.png;fig_B3-049.png,✅ 專屬檔案，題號對應正確,參考下圖執行結果，下列何者正確？
B3-050,B3,第48~50題,B3-050_p19.png,,fig_G_B3-048_p16.png;fig_G_B3-048_p17.png;fig_B3-050_p18.png;fig_B3-050_p19.png,✅ 專屬檔案，題號對應正確,"參考下圖執行結果，下列何者正確？A：空格1須填入""b-""B：空格2須填入""b--""C：空格1須填入""r-""D：空格2須填入""r--""E：驗證"
B3-090,B3,,B3-090.png,B3-090、B3-091,fig_B3-090.png,⚠️ 與其他 1 題共用同一檔，需確認是否為題組共用圖,分析師準備建立一個能將手寫數字圖片（28x28像素展平為784維度）分為0~9共10個類別的多層感知機（MLP），且標籤已轉為One-Hot
B3-091,B3,,B3-091.png,B3-090、B3-091,fig_B3-091.png,⚠️ 與其他 1 題共用同一檔，需確認是否為題組共用圖,工程師使用PyTorch建立OCR訓練pipeline，並對手寫字母資料集套用下圖程式進行資料增強（Transform）。模型在訓練過程中顯
B3-092,B3,第42~43題,G_B3-092.png,,fig_G_B3-092.png,✅ 專屬檔案，題號對應正確,觀察程式中行
B3-093,B3,第42~43題,G_B3-092.png,,fig_G_B3-092.png,✅ 專屬檔案，題號對應正確,在進行遷移學習微調（Fine-Tuning）時，通常會將優化器的學習率（LearningRate）設得非常小（如1e-4），下列何者為主要的
B3-094,B3,第44~45題,B3-094.png,,fig_G_B3-094.png;fig_B3-094.png,✅ 專屬檔案，題號對應正確,研究人員撰寫的程式中（下圖），先用整體資料進行LDA（LinearDiscriminantAnalysis）降維，接著再用KNN（K-Nea
B3-095,B3,第44~45題,B3-095.png,,fig_G_B3-094.png;fig_B3-095.png,✅ 專屬檔案，題號對應正確,研究人員在程式（下圖）中使用cross_val_score進行交叉驗證，但目前尚未設定cv參數。他們希望確保在每次資料分割時，訓練集與測試集
B3-096,B3,第46~48題,B3-096.png,,fig_G_B3-096.png;fig_B3-096.png,✅ 專屬檔案，題號對應正確,參考下圖資料處理，下列哪一項描述組合正確？
B3-097,B3,第46~48題,B3-097.png,B3-097、B3-098,fig_G_B3-096.png;fig_B3-097.png,⚠️ 與其他 1 題共用同一檔，需確認是否為題組共用圖,參考下圖建立模型結果，下列哪一項描述組合正確？
B3-098,B3,第46~48題,B3-098.png,B3-097、B3-098,fig_G_B3-096.png;fig_B3-098.png,⚠️ 與其他 1 題共用同一檔，需確認是否為題組共用圖,參考下圖繪圖結果，當Epochs=6時，訓練曲線值(0.81)明顯大於驗證曲線值(0.72)，下列何者為最可能的原因？
B3-100,B3,第49~50題,B3-100.png,,fig_B3-100.png,✅ 專屬檔案，題號對應正確,為了修復訓練過程中Loss突然變成NaN的問題，工程師考慮在PyTorch訓練迴圈中加入梯度裁剪（GradientClipping）機制，例
